ASV	Algae1-1	Algae1-2	Algae1-5	Algae1-6	Algae2-2	Algae2-5	Algae2-6	Algae2-7	Stichodactyla1-1	Stichodactyla1-2	Porites1-12	Goniastrea1-14	Goniastrea1-1	Montipora1-2	Goniastrea1-3	Goniastrea1-5	Porites1-6	Goniastrea1-9	Goniastrea2-14	Goniastrea2-16	Goniastrea2-18	Goniastrea2-19	Porites2-1	Goniastrea2-2	Porites2-3	Montipora2-6	Porites2-7	Porites2-9	Amphisorus1-10	Sorites1-12	Sorites1-13	Sorites1-14	Amphisorus1-2	Amphisorus1-3	Amphisorus1-4	Amphisorus1-5	Amphisorus1-7	Sorites1-9	Amphisorus2-1	Sorites2-21	Sorites2-22	Sorites2-29	Amphisorus2-2	Amphisorus2-30	Amphisorus2-31	Amphisorus2-3	Amphisorus2-4	Amphisorus2-5	Amphisorus2-6	Sediment1-5	Sediment1-6	Sediment1-7	Sediment1-8	Sediment2-4	Sediment2-5	Sediment2-6	Sediment2-9	Water1-1	Water1-2	Water1-3	Water1-4	Water2-5	Water2-6	Water2-7	Water2-8	Tridacna1	Tridacna2	Tridacna3	Tridacna4	Tridacna5	Tridacna6	Tridacna7	Tridacna8	Tridacna9
ASV_1	5507	26677	12676	4287	49145	7009	12077	4660	0	0	0	0	0	0	25578	0	0	0	0	0	214	97	0	16	0	0	0	0	38081	556	964	3267	485	0	25008	31706	99	4171	0	1688	2851	15139	24374	27585	21816	0	20033	39809	0	13167	637	1766	940	653	9525	2887	2134	699	1877	529	929	1553	949	1320	767	25571	8727	12024	15647	17128	2857	3031	267	22186
ASV_2	143	192	994	1012	0	2453	766	1615	0	0	28027	33935	51580	0	0	42089	0	23884	35101	31352	37525	28785	13	35111	15	12	0	7283	0	0	0	0	0	0	0	0	72	0	0	0	292	0	0	0	0	0	0	0	0	42	370	194	28	0	368	126	145	1549	1075	1474	613	1541	883	957	2607	45	0	0	0	0	0	0	0	0
ASV_3	0	120	0	0	0	0	0	0	0	0	19207	0	0	0	0	0	29321	0	0	0	0	0	23091	0	26274	0	21820	28795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	1700	0	0	1359	1279	1216	699	698	506	802	792	0	0	0	0	0	0	0	0	0
ASV_4	2240	6081	363	15978	0	8101	521	5067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31427	0	14575	0	0	0	0	0	18562	0	456	9215	4985	0	0	0	0	0	0	0	0	3498	64	0	522	0	0	705	18	0	30	0	0	0	60	27	0	0	0	0	0	0	0	0	0
ASV_5	0	1432	928	4230	0	785	705	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18162	13438	0	0	20677	0	18973	0	0	0	0	0	0	11111	0	0	18455	14	32	163	0	22	0	56	784	0	0	0	0	24	0	0	145	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26927	20100	12217	8479	19404	0	17419	1004
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14151	713	730	444	403	4810	46223	24329	5098
ASV_8	0	70	160	0	0	461	306	325	0	0	6472	8532	12460	0	0	10775	0	6094	8548	8160	9982	7393	0	8277	0	0	0	1575	0	0	0	19	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	292	0	323	0	255	452	0	0	0	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	29278	0	0	0	0	0	0	0	0	0	0	0	47346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	0	125	801	2464	0	712	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9151	5653	0	0	7239	0	6671	0	0	0	0	0	0	10070	0	0	12887	0	0	52	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
